0
"Date Open High Low Close
Adj Close
Volume"
"Aug 1, 2025 626.30 626.34 619.65 624.66 624.66 55,905,955"
"Jul 31, 2025 639.46 639.85 630.77 632.08 632.08 103,081,600"
"Jul 30, 2025 635.92 637.68 631.54 634.46 634.46 80,418,900"
"Jul 29, 2025 638.35 638.67 634.34 635.26 635.26 60,556,300"
"Jul 28, 2025 637.48 638.04 635.54 636.94 636.94 54,917,100"
"Jul 25, 2025 635.09 637.58 634.84 637.10 637.10 56,865,400"
"Jul 24, 2025 634.60 636.15 633.99 634.42 634.42 71,307,100"
"Jul 23, 2025 631.55 634.21 629.73 634.21 634.21 70,511,000"
"Jul 22, 2025 629.10 629.73 626.19 628.86 628.86 60,046,300"
"Jul 21, 2025 628.77 631.54 628.34 628.77 628.77 63,375,000"
"Jul 18, 2025 629.30 629.47 626.46 627.58 627.58 65,621,600"
"Jul 17, 2025 624.40 628.40 624.18 628.04 628.04 68,885,700"
"Jul 16, 2025 623.74 624.73 618.05 624.22 624.22 88,987,500"
"Jul 15, 2025 627.52 627.86 622.06 622.14 622.14 74,317,300"
"Jul 14, 2025 623.16 625.16 621.80 624.81 624.81 51,898,500"
"Jul 11, 2025 622.74 624.86 621.53 623.62 623.62 63,670,200"
"Jul 10, 2025 624.20 626.87 623.01 625.82 625.82 57,529,000"
"Jul 9, 2025 622.77 624.72 620.91 624.06 624.06 66,113,300"
"Jul 8, 2025 621.35 622.11 619.52 620.34 620.34 59,024,600"
"Jul 7, 2025 623.36 624.03 617.87 620.68 620.68 74,814,500"
"Jul 3, 2025 622.45 626.28 622.43 625.34 625.34 51,065,800"
"Jul 2, 2025 617.24 620.49 616.61 620.45 620.45 66,510,400"
"Jul 1, 2025 616.36 618.83 615.52 617.65 617.65 70,030,100"
"Jun 30, 2025 617.38 619.22 615.04 617.85 617.85 92,502,500"
"Jun 27, 2025 612.88 616.39 610.83 614.91 614.91 86,258,400"
"Jun 26, 2025 608.99 612.31 608.37 611.87 611.87 78,548,400"
"Jun 25, 2025 607.91 608.61 605.54 607.12 607.12 62,114,800"
"Jun 24, 2025 604.33 607.85 603.41 606.78 606.78 67,735,300"
"Jun 23, 2025 595.04 600.54 591.89 600.15 600.15 87,426,000"
"Jun 20, 2025 1.761 Dividend"
"Jun 20, 2025 598.38 599.46 592.86 594.28 594.28 94,051,400"
"Jun 18, 2025 598.44 601.22 596.47 597.44 595.68 76,605,000"
"Jun 17, 2025 600.21 601.75 596.76 597.53 595.77 82,209,400"
"Jun 16, 2025 600.40 604.45 600.22 602.68 600.90 79,984,100"
"Jun 13, 2025 598.50 601.85 595.48 597.00 595.24 89,506,000"
"Jun 12, 2025 600.01 603.75 599.52 603.75 601.97 64,129,000"
"Jun 11, 2025 604.19 605.06 599.27 601.36 599.59 73,658,200"
"Jun 10, 2025 600.22 603.47 599.09 603.08 601.30 66,247,000"
"Jun 9, 2025 599.72 601.25 598.49 599.68 597.91 53,016,400"
"Jun 6, 2025 598.66 600.83 596.86 599.14 597.37 66,588,700"
"Jun 5, 2025 597.63 599.00 591.05 593.05 591.30 92,278,700"
"Jun 4, 2025 596.96 597.95 595.49 595.93 594.17 57,314,200"
"Jun 3, 2025 592.34 597.08 591.85 596.09 594.33 63,606,200"
"Jun 2, 2025 587.76 592.79 585.06 592.71 590.96 61,630,500"
"May 30, 2025 588.93 591.13 583.24 589.39 587.65 90,601,200"
"May 29, 2025 593.06 593.20 586.07 590.05 588.31 69,973,300"
"May 28, 2025 591.56 592.77 586.99 587.73 586.00 68,445,500"
"May 27, 2025 586.07 591.31 578.43 591.15 589.41 72,588,500"
"May 23, 2025 575.98 581.81 575.60 579.11 577.40 76,029,000"
"May 22, 2025 582.66 586.62 581.41 583.09 581.37 70,860,400"
"May 21, 2025 588.44 592.58 581.82 582.86 581.14 95,197,700"
"May 20, 2025 593.09 594.05 589.60 592.85 591.10 60,614,500"
"May 19, 2025 588.10 595.54 588.10 594.85 593.10 68,168,500"
"May 16, 2025 591.25 594.50 589.28 594.20 592.45 76,052,100"
"May 15, 2025 585.56 590.97 585.10 590.46 588.72 71,268,100"
"May 14, 2025 587.81 588.98 585.54 587.59 585.86 66,283,500"
"May 13, 2025 583.41 589.08 582.84 586.84 585.11 67,947,200"
"May 12, 2025 581.47 583.00 577.04 582.99 581.27 78,993,600"
"May 9, 2025 566.48 567.50 562.76 564.34 562.68 37,603,400"
"May 8, 2025 565.24 570.31 561.70 565.06 563.39 65,130,800"
"May 7, 2025 560.15 563.82 556.04 561.15 559.50 55,588,000"
"May 6, 2025 557.93 563.35 556.96 558.80 557.15 48,264,700"
"May 5, 2025 562.57 566.65 561.70 563.51 561.85 38,659,200"
"May 2, 2025 564.73 568.38 562.38 566.76 565.09 60,717,300"
"May 1, 2025 560.37 564.07 557.86 558.47 556.82 63,186,100"
"Apr 30, 2025 547.57 556.52 541.52 554.54 552.91 93,101,500"
"Apr 29, 2025 548.91 555.45 548.55 554.32 552.69 47,775,100"
"Apr 28, 2025 551.39 553.55 545.02 550.85 549.23 47,613,800"
"Apr 25, 2025 546.65 551.05 543.69 550.64 549.02 61,119,600"
"Apr 24, 2025 536.72 547.43 535.45 546.69 545.08 64,150,400"
"Apr 23, 2025 540.43 545.43 533.88 535.42 533.84 90,590,700"
"Apr 22, 2025 520.14 529.30 519.19 527.25 525.70 75,948,100"
"Apr 21, 2025 521.16 521.70 508.46 513.88 512.37 69,368,100"
"Apr 17, 2025 527.64 531.17 523.91 526.41 524.86 79,868,100"
"Apr 16, 2025 531.68 537.89 520.29 525.66 524.11 83,484,800"
"Apr 15, 2025 539.67 543.23 536.81 537.61 536.03 56,892,900"
"Apr 14, 2025 544.05 544.28 533.86 539.12 537.53 68,034,000"
