排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,1303,南亞,"200,542,382","86,893",38.70,41.80,37.50,40.95,+,2.25,40.95,41.00
2,1802,台玻,"175,046,766","51,908",21.60,23.90,21.10,23.90,+,2.15,23.90,0.00
3,00919,群益台灣精選高息,"131,786,663","70,012",21.47,21.47,21.28,21.30,-,0.18,21.30,21.31
4,1605,華新,"107,765,179","40,000",23.65,23.70,22.00,22.50,-,0.40,22.50,22.55
5,2317,鴻海,"90,529,600","65,592",178.00,179.00,176.00,178.00,X,0.00,177.50,178.00
6,2887,台新金,"85,794,986","17,216",16.40,16.40,16.20,16.35,-,0.05,16.30,16.35
7,0050,元大台灣50,"83,010,418","34,626",51.10,51.60,51.10,51.55,+,0.55,51.50,51.55
8,2027,大成鋼,"81,646,714","35,044",40.75,40.75,38.50,39.30,-,1.15,39.30,39.35
9,8033,雷虎,"79,542,767","47,065",97.60,99.20,94.70,95.60,+,0.30,95.50,95.60
10,2887I,台新辛特,"77,418,198","4,185",8.88,8.95,8.88,8.93,+,0.06,8.93,8.94
11,2408,南亞科,"74,110,049","32,618",44.90,45.50,43.60,44.55,-,0.35,44.55,44.60
12,1301,台塑,"73,833,930","39,518",43.15,43.20,41.95,42.65,,0.00,42.60,42.65
13,2801,彰銀,"68,288,662","9,607",18.65,18.70,18.50,18.50,X,0.00,18.50,18.55
14,00637L,元大滬深300正2,"65,665,127","7,426",16.50,16.50,16.03,16.11,-,0.51,16.10,16.11
15,3231,緯創,"57,587,883","30,645",121.00,124.50,120.50,123.00,+,2.50,122.50,123.00
16,00878,國泰永續高股息,"56,100,356","28,588",21.00,21.07,20.92,21.05,-,0.06,21.05,21.06
17,4916,事欣科,"50,585,398","31,603",52.50,57.00,51.10,55.00,+,2.60,55.00,55.10
18,3481,群創,"48,315,392","8,775",11.90,11.90,11.55,11.55,-,0.35,11.55,11.60
19,2382,廣達,"48,210,508","39,503",271.50,285.00,270.00,281.50,+,11.50,281.50,282.00
20,00632R,元大台灣50反1,"48,067,043","9,034",20.60,20.64,20.40,20.42,-,0.21,20.42,20.43
