排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2887,台新金,"240,363,078","25,777",16.45,16.45,16.10,16.20,-,0.10,16.20,16.25
2,1303,南亞,"159,112,569","63,197",37.30,37.30,35.80,35.85,-,1.15,35.85,35.90
3,2027,大成鋼,"153,323,129","56,031",37.95,40.25,37.70,39.60,+,1.80,39.60,39.65
4,1802,台玻,"116,800,756","35,425",22.00,22.30,21.35,21.55,-,0.80,21.50,21.55
5,3037,欣興,"114,489,321","65,550",138.00,145.00,137.50,140.00,+,7.00,140.00,140.50
6,0050,元大台灣50,"107,016,033","83,702",51.05,51.05,50.25,50.45,-,0.60,50.40,50.45
7,2887I,台新辛特,"105,270,250","9,619",8.89,8.92,8.88,8.88,-,0.02,8.88,8.90
8,00919,群益台灣精選高息,"93,346,222","52,208",21.66,21.66,21.45,21.49,-,0.17,21.48,21.49
9,8021,尖點,"84,577,876","45,608",58.70,62.00,58.00,58.80,+,1.10,58.80,58.90
10,00715L,期街口布蘭特正2,"78,839,420","6,417",11.76,11.78,11.71,11.72,+,0.40,11.72,11.73
11,3715,定穎投控,"72,507,121","53,342",72.30,76.90,72.10,75.80,+,4.20,75.80,75.90
12,00878,國泰永續高股息,"69,590,415","34,260",21.25,21.25,21.03,21.10,-,0.15,21.09,21.10
13,3706,神達,"63,308,780","37,149",76.40,77.20,74.10,75.30,-,0.50,75.30,75.40
14,00953B,群益優選非投等債,"60,313,736","3,504",9.22,9.25,9.21,9.25,+,0.07,9.24,9.25
15,3481,群創,"59,645,710","10,320",11.80,12.00,11.65,11.70,,0.00,11.65,11.70
16,3189,景碩,"57,958,638","33,167",103.50,109.00,103.50,106.00,+,6.00,106.00,106.50
17,8033,雷虎,"54,791,555","26,128",83.60,86.70,81.00,86.70,+,7.80,86.70,0.00
18,2891,中信金,"52,634,918","22,252",42.20,42.30,41.50,41.70,-,0.40,41.65,41.70
19,2317,鴻海,"49,613,588","69,848",175.00,175.50,171.00,171.50,-,4.50,171.50,172.00
20,4958,臻鼎-KY,"49,438,107","20,797",126.50,128.50,125.00,127.50,+,10.50,127.00,127.50
