標題,發布單位,發布時間
受到低壓帶及西南風影響，高雄市桃源區、六龜區、那瑪夏區、茂林區、甲仙區、美濃區7/31停班停課，本市部分公車路線停駛，其餘路線正常行駛,高雄市政府交通局,114-07-30
受西南氣流影響，高市山區累積雨量迅速增加，根據水土保持署資訊，本府已發布明日那瑪夏區、甲仙區、美濃區、桃源區、六龜區、茂林區6個行政區停班停課，本市已開放35處臨時停車處所，供市民緊急停放車輛。,交通局,114-07-30
受西南氣流影響，高市山區累積雨量迅速增加，根據水土保持署資訊，本府已發布明日那瑪夏區、甲仙區、美濃區、桃源區、六龜區、茂林區6個行政區停班停課，本市已開放35處臨時停車處所，供市民緊急停放車輛。,高雄市政府交通局,114-07-30
受西南氣流影響，高市山區累積雨量迅速增加，根據水土保持署資訊，那瑪夏區、甲仙區、美濃區、桃源區、六龜區、茂林區仍列為土石流及大規模崩塌警戒區，有致災之虞，為維護市民安全，該6個行政區明（31）日停止上班、停止上課。,高雄市政府人事處,114-07-30
受西南氣流影響，那瑪夏區、甲仙區、美濃區、桃源區、六龜區、茂林區仍列為土石流及大規模崩塌警戒區，該6個行政區明（31）日停止上班、停止上課。,人事處,114-07-30
林副市長主持0728豪雨應變中心第三次會議　掌握山區警戒、撤離安置與應變處理情形,高雄市政府水利局,114-07-30
高雄山區土石流警戒擴大 市長陳其邁前往六龜視察災後應變情形,高雄市政府水利局,114-07-30
 2025年8月藝文活動月刊,高雄市政府文化局,114-07-30
[資訊處公告] 本府全球資訊網訂於114年7月30日(三)下午18:00至20:00進行主機平台維護作業，網站可能會有一分鐘瞬斷，造成不便之處，尚請見諒。,高雄市政府資訊處,114-07-30
根據中央氣象署及水保署資訊，本府已發布明日桃源區、六龜區、那瑪夏區、茂林區、甲仙區5個行政區停班停課，本市已開放24處臨時停車處所，供市民緊急停放車輛。,交通局,114-07-29
根據中央氣象署及水保署資訊，本府已發布明日桃源區、六龜區、那瑪夏區、茂林區、甲仙區5個行政區停班停課，本市已開放24處臨時停車處所，供市民緊急停放車輛。,高雄市政府交通局,114-07-29
受到低壓帶及西南風影響，高雄市桃源區、六龜區、那瑪夏區、茂林區、甲仙區7/30停班停課，本市部分公車路線停駛，其餘路線正常行駛,交通局,114-07-29
受到低壓帶及西南風影響，高雄市桃源區、六龜區、那瑪夏區、茂林區、甲仙區7/30停班停課，本市部分公車路線停駛，其餘路線正常行駛,高雄市政府交通局,114-07-29
高市府宣布六龜區、甲仙區、茂林區、桃源區、那瑪夏區5個行政區，明(30)日停止上班、停止上課。,人事處,114-07-29
【高市府公告】根據中央氣象署及水保署資訊，明(30)日(週三)高雄市山區預估雨量已達停班停課標準，且六龜、甲仙、茂林、桃源、那瑪夏5區仍列為土石流或大規模崩塌警戒區，有致災之虞，為維護市民安全，高市府宣布六龜區、甲仙區、茂林區、桃源區、那瑪夏區5個行政區，明(30)日停止上班、停止上課。,高雄市政府人事處,114-07-29
西南氣流挾豪雨  林副市長視察後勁溪仁武八涳橋改建前置作業,高雄市政府水利局,114-07-29
陳其邁市長視察茄萣、永安、彌陀與梓官沿海防汛整備 落實側溝排水通暢全面戒備,高雄市政府水利局,114-07-29
西南氣流警報持續發佈 林欽榮副市長視察鼓山三路擋土牆及柴山滯洪池防汛準備,高雄市政府水利局,114-07-29
環保局明(7/29)日正常清運垃圾,環境保護局,114-07-28
 高雄市急救責任醫院與市立醫院致災性豪雨期間門急診時間表,衛生局,114-07-28
